rma_id,customer,model,sn,dealer,type_s,tr_date,quotation_date,confirm_date,repair_note,status,p_status,p_score,return_date
FMSV2023080015,Bach Mai Hospital,EG-600WR,8G391K425,Trang Thi,Ống soi dạ dày,2023-08-10,2023-08-15,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080016,Bach Mai Hospital,EC-600WI,6C692K127,Trang Thi,Ống soi đại tràng,2023-08-10,2023-08-15,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080018,Bach Mai Hospital,EC-600WI,5C692K087,Trang Thi,Ống soi đại tràng,2023-08-11,2023-08-15,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080020,Bach Mai Hospital,EC-590WI,1C607K008,Trang Thi,Ống soi đại tràng,2023-08-14,2023-08-15,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080022,"FUJIFILM Vietnam Co., Ltd.",XL-4450,1S094A282,,Bộ nguồn sáng,2023-08-16,2023-08-16,2023-09-20,PO113,LP/waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023080024,Bach Mai Hospital,EC-600WI,3C692K101,Trang Thi,Ống soi đại tràng,2023-08-16,2023-08-23,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080028,Song An Clinic,EC-600ZW/L,1C695K136,,Ống soi đại tràng,2023-08-08,2023-08-21,2023-09-08,Confirmed: 12-Sep. PO111,waiting for repair,,,
FMSV2023080038,"FUJIFILM Vietnam Co., Ltd.",EG-600WR,1G391K524,,Ống soi dạ dày,2023-08-11,,,,waiting approved,Chờ duyệt bảo hành,2.5,
FMSV2023080042,Hoan My Sai Gon Premier Hospital,EG-590WR,1G348K870,ETC,Ống soi dạ dày,2023-08-15,2023-08-16,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080050,Thien Hanh Hospital,EG-720R,1G412K264,ETC,Ống soi dạ dày,2023-08-17,2023-08-23,2023-10-10,PO113,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023080056,"FUJIFILM Vietnam Co., Ltd.",EG-760R,2G402K022,,Ống soi dạ dày,2023-08-21,,,PO113,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023080057,Hoan My Sai Gon Clinic,EG-250WR5,2G202K019,,Ống soi dạ dày,2023-08-24,2023-08-24,,PO113,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023080058,Hoan My Sai Gon Clinic,EC-250WL5,1C309K265,,Ống soi đại tràng,2023-08-17,2023-08-23,,PO113,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023080061,Nghe An Friendship General Hospital,EG-530WR,2G361K799,Promed,Ống soi dạ dày,2023-08-22,2023-09-20,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080062,Lao Khoa Hospital,EG-530WR,1G361K957,,Ống soi dạ dày,2023-08-28,2023-09-07,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080064,Hanoi Medical University Hospital,EG-600WR,2G391K783,Trang Thi,Ống soi dạ dày,2023-08-22,2023-09-12,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080068,Hanoi Medical University Hospital,EG-600WR,2G391K288,Trang Thi,Ống soi dạ dày,2023-08-22,2023-08-28,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080069,Hanoi Medical University Hospital,CDL1909A(230V),1V620K266,Trang Thi,Màn hình,2023-08-28,2023-09-07,,,LP/waiting confirm,Chờ xác nhận,3.0,
FMSV2023080070,"FUJIFILM Vietnam Co., Ltd.",EG-590WR,5G348A471,,Ống soi dạ dày,2023-08-21,2023-08-21,2023-09-11,Approved: 20-Sep-23. ,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023080074,Bach Mai Hospital,EG-600WR,8G391K432,Trang Thi,Ống soi dạ dày,2023-08-23,2023-08-28,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080075,Bach Mai Hospital,EG-600WR,7G391K344,Trang Thi,Ống soi dạ dày,2023-08-23,2023-08-28,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080076,Bach Mai Hospital,EC-530WI,3C591A036,Trang Thi,Ống soi đại tràng,2023-08-23,2023-08-28,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080078,Bach Mai Hospital,EC-530WL3,1C643K192,Trang Thi,Ống soi đại tràng,2023-08-30,,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080079,Bach Mai Hospital,EC-720R/I,3C741K101,Trang Thi,Ống soi đại tràng,2023-08-24,2023-08-28,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080082,Tay Nguyen Regional General Hospital,EB-530S,5B089K052,ETC,Ống soi khí phế quản,2023-08-22,2023-08-24,2023-11-06,Confirmed: 06-Nov. ,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023080084,TRUNG VUONG HOSPITAL,EG-530WR,4G361K015,ETC,Ống soi dạ dày,2023-08-24,2023-08-28,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080085,"FUJIFILM Vietnam Co., Ltd.",EC-600WI,1C692K077,,Ống soi đại tràng,2023-08-24,,,PO113,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023080091,Hoang Long Clinic,EC-760ZP-V/M,1C730K121,Trang Thi,Ống soi đại tràng,2023-08-28,,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080094,"FUJIFILM Vietnam Co., Ltd.",EG-600WR,1G391K928,,Ống soi dạ dày,2023-08-29,2023-08-29,2023-09-20,Approved: 20-Sep-23. ,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023080095,"FUJIFILM Vietnam Co., Ltd.",EC-530FI,1C653K505,,Ống soi đại tràng,2023-08-30,2023-08-30,2023-09-11,End: 30-Oct.Start: 23-Oct.Approved: 20-Sep-23. ,Completed repair,Hoàn tất sửa chữa,7.0,
FMSV2023080097,Bach Mai Hospital,ED-530XT,SD102A089,Trang Thi,Ống soi mật tụy,2023-08-30,,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080100,Bai Chay Hospital,EG-600WR,2G391K293,MDC,Ống soi dạ dày,2023-08-31,,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080101,Lam Hoa Private Hospital,EG-250WR5,1G202K490,,Ống soi dạ dày,2023-09-06,,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080102,Lam Hoa Private Hospital,EG-250WR5,2G202K006,,Ống soi dạ dày,2023-09-06,,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090001,Nam Can Tho Medical Center,EC-530WL3,7C643K451,,Ống soi đại tràng,2023-09-05,,2023-11-06,PO114,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023090002,Van Hanh Hospital,EC-530WL3,KC643K396,ETC,Ống soi đại tràng,2023-09-05,,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090003,ETC Company,EP-6000,2V696K388,ETC,Bộ Xử lý,2023-09-06,,2023-09-19,Approved: 19-Sep-23. Warranty Parts.,LP/waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023090004,103 Military Hospital,EC-600WI,3C692K105,,Ống soi đại tràng,2023-09-07,2023-09-12,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090005,103 Military Hospital,EG-600WR,5G391K105,,Ống soi dạ dày,2023-09-07,2023-09-08,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090007,Hoang Long Clinic,EG-760R,1G402K290,Trang Thi,Ống soi dạ dày,2023-09-11,2023-09-12,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090011,Bach Mai Hospital,EG-600WR,KG391K536,Trang Thi,Ống soi dạ dày,2023-09-11,,2023-09-15,Approved: 15-Sep-23. Warranty Parts. ,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023090012,Bach Mai Hospital,EG-600WR,8G391K377,Trang Thi,Ống soi dạ dày,2023-09-11,,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090013,Bach Mai Hospital,EC-600WI,6C692K137,Trang Thi,Ống soi đại tràng,2023-09-12,2023-09-12,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090014,Bach Mai Hospital,EC-600WI,5C692K022,Trang Thi,Ống soi đại tràng,2023-09-13,2023-09-13,,,waiting approved,Chờ duyệt bảo hành,2.5,
FMSV2023090015,FTYO - Loaner Asset,EG-600WR,2G391K487,,Ống soi dạ dày,2023-10-04,2023-10-04,,,waiting approved,Chờ duyệt bảo hành,2.5,
FMSV2023090018,Hoan My Sai Gon Premier Hospital,EC-530WL3,5C643K346,ETC,Ống soi đại tràng,2023-09-08,2023-09-11,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090021,"FUJIFILM Vietnam Co., Ltd.",EC-760R-V/I,1C728K140,,Ống soi đại tràng,2023-09-14,2023-09-14,,,waiting approved,Chờ duyệt bảo hành,2.5,
FMSV2023090025,Hanoi Medical University Hospital,XL-4450,3S094K699,Trang Thi,Bộ nguồn sáng,2023-09-15,2023-09-15,,,LP/waiting confirm,Chờ xác nhận,3.0,
FMSV2023090026,"FUJIFILM Vietnam Co., Ltd.",ED-580XT,2D127K107,,Ống soi mật tụy,2023-09-20,2023-09-20,,,waiting approved,Chờ duyệt bảo hành,2.5,
FMSV2023090027,Nga Bay City General Hospital,EG-580NW2,6G390K061,,Ống soi dạ dày,2023-09-18,2023-09-20,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090028,"FUJIFILM Vietnam Co., Ltd.",EG-250WR5,2G202K058,,Ống soi dạ dày,2023-09-18,,2023-09-19,End: 19-Oct.Start: 19-Oct.Approved: 20-Sep-23. Warranty Parts. ,Completed repair,Hoàn tất sửa chữa,7.0,
FMSV2023090029,Hanoi Medical University Hospital,EC-600WI,2C692K096,Trang Thi,Ống soi đại tràng,2023-09-18,2023-09-18,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090030,Hanoi Medical University Hospital,EC-600WI,5C692K026,Trang Thi,Ống soi đại tràng,2023-09-18,2023-09-18,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090031,Hanoi Medical University Hospital,EC-600WI,5C692K029,Trang Thi,Ống soi đại tràng,2023-09-18,2023-09-18,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090035,Hanoi Medical University Hospital,EG-600WR,7G391K075,Trang Thi,Ống soi dạ dày,2023-09-19,2023-09-19,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090038,Tam Anh General Hospital (Hanoi),EG-760R,9G402K358,,Ống soi dạ dày,2023-09-18,2023-09-20,,PO113,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023090039,"FUJIFILM Vietnam Co., Ltd.",EG-720R,1G412K182,,Ống soi dạ dày,2023-09-21,2023-09-21,,,waiting approved,Chờ duyệt bảo hành,2.5,
FMSV2023090041,Hue University Of Medicine And Pharmacy - Ginec,EC-530WI3,2C642D165,,Ống soi đại tràng,2023-09-20,2023-09-20,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090047,Van Hanh Hospital,EC-530WL3,KC643K398,ETC,Ống soi đại tràng,2023-10-24,,,Warranty Parts. ,waiting approved,Chờ duyệt bảo hành,2.5,
FMSV2023090048,Vietnam – Cuba Donghoi Friendship Hospital,EC-760R-V/M,7C727K139,Promed,Ống soi đại tràng,2023-10-10,2023-09-28,,,Under repair,Đang sửa chữa,6.0,
FMSV2023090049,Bach Mai Hospital,EG-600WR,8G391K369,Trang Thi,Ống soi dạ dày,2023-09-21,2023-09-27,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090054,Hanoi Oncology Hospital,EC-530WL3,KC643K241,,Ống soi đại tràng,2023-09-28,,2023-10-02,Approved: 10-Oct-23. Warranty Parts. ,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023090062,Hoan My Da Nang Hospital,EC-530WL3,KC643K008,ETC,Ống soi đại tràng,2023-10-04,,,Warranty Parts. ,waiting approved,Chờ duyệt bảo hành,2.5,
FMSV2023090063,Thong Nhat Hospital,EG-720R,1G412K346,Trang Thi,Ống soi dạ dày,2023-09-28,2023-09-29,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090065,Thien Hanh Hospital,EP-6000,1V696K077,ETC,Bộ Xử lý,2023-09-28,2023-09-29,,,LP/waiting confirm,Chờ xác nhận,3.0,
FMSV2023090068,Hanoi Medical University Hospital,EG-600WR,7G391K201,Trang Thi,Ống soi dạ dày,2023-09-28,2023-04-11,,FMSV2023040010,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090069,Phu Tho General Hospital - Pediatric Center,EG-530FP,4G374K157,,Ống soi dạ dày,2023-09-28,2023-04-05,,PO113,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023090070,Vietnam – Cuba Donghoi Friendship Hospital,EG-760R,6G402K258,Promed,Ống soi dạ dày,2023-09-29,2023-08-28,,FMSV2023040024,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090071,Nghe An Friendship General Hospital,XL-4450,3S094K410,Promed,Bộ nguồn sáng,2023-09-29,2023-07-14,,FMSV2023040041,LP/waiting confirm,Chờ xác nhận,3.0,
FMSV2023090072,Hanoi Medical University Hospital,EG-600WR,7G391K085,Trang Thi,Ống soi dạ dày,2023-09-29,2023-05-29,,FMSV2023040077,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090073,Dam Doi Hospital,EG-250WR5,SG202A469,,Ống soi dạ dày,2023-09-29,2023-07-27,,FMSV2023050018,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090074,Phu Tho General Hospital - Pediatric Center,EG-530FP,4G374K154,,Ống soi dạ dày,2023-09-29,,,PO113,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023090077,Bai Chay Hospital,EC-600WI,1C692K270,MDC,Ống soi đại tràng,2023-09-29,,,FMSV2023050049,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090078,Hanoi Medical University Hospital,EG-600WR,2G391K780,Trang Thi,Ống soi dạ dày,2023-09-29,,,FMSV2023050062,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090079,Bai Chay Hospital,EG-600WR,2G391K484,MDC,Ống soi dạ dày,2023-09-29,,,FMSV2023050071,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090080,Hanoi Medical University Hospital,XL-4450,2S094K543,Trang Thi,Bộ nguồn sáng,2023-09-29,,,PO112,LP/waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023090081,Hanoi Medical University Hospital,EG-600WR,4G391K120,Trang Thi,Ống soi dạ dày,2023-09-29,,,FMSV2023060053,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090082,Hanoi Medical University Hospital,EG-600WR,7G391K122,Trang Thi,Ống soi dạ dày,2023-09-29,,,FMSV2023060054,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090084,Bai Chay Hospital,VP-4450HD,2V567K846,MDC,Bộ Xử lý,2023-09-29,,,FMSV2023060065,LP/waiting confirm,Chờ xác nhận,3.0,
FMSV2023090086,Hanoi Medical University Hospital,EG-600WR,2G391K779,Trang Thi,Ống soi dạ dày,2023-09-29,,,FMSV2023070001,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090087,Hanoi Medical University Hospital,EG-600WR,2G391K945,Trang Thi,Ống soi dạ dày,2023-09-29,,,FMSV2023070004,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090088,Hanoi Medical University Hospital,EG-600WR,2G391K093,Trang Thi,Ống soi dạ dày,2023-09-29,,,FMSV2023070005,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090089,Hanoi Medical University Hospital,EC-600WI,1C692K734,Trang Thi,Ống soi đại tràng,2023-09-29,,,FMSV2023070008,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090090,Hanoi Medical University Hospital,EG-600WR,2G391K208,Trang Thi,Ống soi dạ dày,2023-09-29,,,FMSV2023070012,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090091,Bach Mai Hospital,ED-580XT,3D127K338,Trang Thi,Ống soi mật tụy,2023-09-29,,,FMSV2023070013,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090093,Nghe An Friendship General Hospital,EG-530WR,5G361k424,Promed,Ống soi dạ dày,2023-09-29,,,FMSV2023070017,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090094,Nghe An Friendship General Hospital,EC-530WL3,5C643K347,Promed,Ống soi đại tràng,2023-09-29,,,End: 31-Oct.PO112,Completed repair,Hoàn tất sửa chữa,7.0,
FMSV2023090095,Nghe An Friendship General Hospital,EG-530WR,8G361K200,Promed,Ống soi dạ dày,2023-09-29,,,FMSV2023070019,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090096,Nghe An Friendship General Hospital,EG-530WR,5G361K426,Promed,Ống soi dạ dày,2023-09-29,,,FMSV2023070020,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090097,Nghe An Friendship General Hospital,EC-530WL3,5C643K365,Promed,Ống soi đại tràng,2023-09-29,,,FMSV2023070021,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090098,Nghe An Friendship General Hospital,EC-530WL3,3C643K193,Promed,Ống soi đại tràng,2023-09-29,,,FMSV2023070022,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090099,Nghe An Friendship General Hospital,EB-530T,1B084K474,Promed,Ống soi khí phế quản,2023-09-29,,,FMSV2023070023,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090100,Nghe An Friendship General Hospital,EB-530T,5B084K008,Promed,Ống soi khí phế quản,2023-09-29,,,FMSV2023070024,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090101,Nam Dinh General Hospital,EC-530WI,4C449B024,,Ống soi đại tràng,2023-09-29,,,FMSV2023070036,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090102,Tuyen Quang General Hospital,EG-530WR,9G361K615,,Ống soi dạ dày,2023-09-29,,,FMSV2023070047,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090103,No. 91 Endoscopy-Gastrointestinal-Gi Scaning Test Clinic,EG-760R,1G402K686,,Ống soi dạ dày,2023-09-29,2023-07-28,,FMSV2023070054,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090104,Hanoi Medical University Hospital,EG-600WR,4G391K232,Trang Thi,Ống soi dạ dày,2023-09-29,,,FMSV2023070061,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090105,DA NANG HOSPITAL,EG-530FP,1G374K023,,Ống soi dạ dày,2023-09-29,,,FMSV2023070066,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090106,DA NANG HOSPITAL,EC-530WI3,1C642K104,,Ống soi đại tràng,2023-09-29,,,FMSV2023070067,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090107,Bach Mai Hospital,EG-600WR,8G391K044,Trang Thi,Ống soi dạ dày,2023-09-29,,,FMSV2023070069,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090108,Bach Mai Hospital,EC-600WI,6C692K126,Trang Thi,Ống soi đại tràng,2023-09-29,,,FMSV2023070070,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090109,Bach Mai Hospital,EG-600WR,2G391K858,Trang Thi,Ống soi dạ dày,2023-09-29,,,FMSV2023070072,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090110,Tuyen Quang General Hospital,EC-530WL3,1C643K926,,Ống soi đại tràng,2023-09-29,,,FMSV2023070075,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090111,Tuyen Quang General Hospital,EG-201FP,RG229A399,,Ống soi dạ dày,2023-09-29,,,FMSV2023080012,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090112,Bach Mai Hospital,EC-600WI,6C692K128,Trang Thi,Ống soi đại tràng,2023-09-29,,,FMSV2023080017,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090113,DA NANG HOSPITAL,EB-530T,3B084A197,,Ống soi khí phế quản,2023-09-29,,,FMSV2023080023,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090114,Hanoi Medical University Hospital,EC-600WI,1C692K584,Trang Thi,Ống soi đại tràng,2023-09-29,,,FMSV2023080026,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090115,Hanoi Medical University Hospital,EG-600WR,9G391K102,Trang Thi,Ống soi dạ dày,2023-09-29,,,FMSV2023080033,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090118,Bach Mai Hospital,EG-600WR,8G391K423,Trang Thi,Ống soi dạ dày,2023-09-29,,,FMSV2023040049,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090119,Quang Ninh Obstetrics And Pediatrics Hospital,ER-530S2,3Y196K006,,Ống soi khí phế quản,2023-09-29,,,FMSV2023040060,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090120,Bach Mai Hospital,EG-600WR,8G391K374,Trang Thi,Ống soi dạ dày,2023-09-29,,,FMSV2023040090,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090121,Bach Mai Hospital,EG-600WR,8G391K428,Trang Thi,Ống soi dạ dày,2023-09-29,,,FMSV2023040091,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090123,Bach Mai Hospital,EC-590WL4,1C666K565,Trang Thi,Ống soi đại tràng,2023-09-29,,,FMSV2023050021,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090124,Lam Hoa Private Hospital,EG-250WR5,3G202K117,,Ống soi dạ dày,2023-09-29,,,FMSV2023050024,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090128,Bach Mai Hospital,EG-600WR,8G391K430,Trang Thi,Ống soi dạ dày,2023-09-29,,,FMSV2023050076,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090129,Bach Mai Hospital,EG-600WR,8G391K041,Trang Thi,Ống soi dạ dày,2023-09-29,,,FMSV2023060011,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090130,Bach Mai Hospital,EG-600WR,8G391K429,Trang Thi,Ống soi dạ dày,2023-09-29,,,FMSV2023060038,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090131,Bach Mai Hospital,EG-600WR,8G391K431,Trang Thi,Ống soi dạ dày,2023-09-29,,,FMSV2023060040,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090132,Nghe An Friendship General Hospital,EG-530WR,2G361K829,Promed,Ống soi dạ dày,2023-09-29,,,FMSV2023070025,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090133,Nghe An Friendship General Hospital,EG-530WR,8G361K199,Promed,Ống soi dạ dày,2023-09-29,,,FMSV2023070026,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090134,Nghe An Friendship General Hospital,EG-530WR,2G361K831,Promed,Ống soi dạ dày,2023-09-29,,,FMSV2023070028,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090135,Nam Dinh General Hospital,EG-530WR,4G361A641,,Ống soi dạ dày,2023-09-29,,,FMSV2023070037,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090137,Tuyen Quang General Hospital,EB-530S,6B083K189,,Ống soi khí phế quản,2023-09-29,,,FMSV2023070049,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090138,Uong Bi Hospital,EC-530WI3,1C642K107,,Ống soi đại tràng,2023-09-29,,,FMSV2023070065,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090139,Vietnam – Cuba Donghoi Friendship Hospital,EC-760R-V/I,5C728K054,Promed,Ống soi đại tràng,2023-09-29,,,FMSV2023040025,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090141,Bach Mai Hospital,ED-580XT,3D127K339,Trang Thi,Ống soi mật tụy,2023-09-29,,,FMSV2023050075,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090142,Hanoi Medical University Hospital,EG-600WR,5G391K028,Trang Thi,Ống soi dạ dày,2023-09-29,,,FMSV2023070003,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090143,Nam Dinh General Hospital,EG-530FP,4G314A057,,Ống soi dạ dày,2023-09-29,,,FMSV2023070034,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090144,Nam Dinh General Hospital,EC-530WI,4C449B022,,Ống soi đại tràng,2023-09-29,,,FMSV2023070035,waiting confirm,Chờ xác nhận,3.0,
