rma_id,customer,model,sn,dealer,type_s,tr_date,quotation_date,confirm_date,repair_note,status,p_status,p_score,return_date
FMSV2023070080,Kon Tum Provincial General Hospital,EC-530WL3,2C643K264,ETC,Ống soi đại tràng,2023-07-31,2023-07-31,2023-09-13,PO112,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023070084,Thien Hanh Hospital,EC-720R/I,1C741K168,ETC,Ống soi đại tràng,2023-08-02,2023-08-07,2023-09-11,Confirmed: 12-Sep. po112,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023080002,Hanoi Medical University Hospital,VP-4450HD,3V567K036,Trang Thi,Bộ Xử lý,2023-08-02,,,Approved: 10-Aug-23 Warranty,LP/waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023080003,Phu Tho General Hospital,EG-530WR,JG361K553,,Ống soi dạ dày,2023-08-08,,,Approved: 10-Aug-23. Warranty Parts. ,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023080004,Phu Tho General Hospital,EC-530WL3,KC643K011,,Ống soi đại tràng,2023-08-08,,,Approved: 10-Aug-23. Warranty Parts. ,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023080006,HOA BINH GENERAL HOSPITAL,EG-530FP,1G374K042,,Ống soi dạ dày,2023-08-09,,,Approved: 18-Aug-23. Warranty Parts. ,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023080008,Thai Binh city general hospital,EG-530WR,LG361K344,,Ống soi dạ dày,2023-08-08,,,Approved: 10-Aug-23. Warranty Parts. ,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023080014,Bach Mai Hospital,EG-600WR,7G391K123,Trang Thi,Ống soi dạ dày,2023-08-10,,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080015,Bach Mai Hospital,EG-600WR,8G391K425,Trang Thi,Ống soi dạ dày,2023-08-10,2023-08-15,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080016,Bach Mai Hospital,EC-600WI,6C692K127,Trang Thi,Ống soi đại tràng,2023-08-10,2023-08-15,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080018,Bach Mai Hospital,EC-600WI,5C692K087,Trang Thi,Ống soi đại tràng,2023-08-11,2023-08-15,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080020,Bach Mai Hospital,EC-590WI,1C607K008,Trang Thi,Ống soi đại tràng,2023-08-14,2023-08-15,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080022,"FUJIFILM Vietnam Co., Ltd.",XL-4450,1S094A282,,Bộ nguồn sáng,2023-08-16,,2023-09-20,Approved: 20-Sep-23. ,LP/waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023080024,Bach Mai Hospital,EC-600WI,3C692K101,Trang Thi,Ống soi đại tràng,2023-08-16,2023-08-23,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080028,Song An Clinic,EC-600ZW/L,1C695K136,,Ống soi đại tràng,2023-08-08,2023-08-21,2023-09-08,Confirmed: 12-Sep. PO111,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023080038,"FUJIFILM Vietnam Co., Ltd.",EG-600WR,1G391K524,,Ống soi dạ dày,2023-08-11,,,,waiting approved,Chờ duyệt bảo hành,2.5,
FMSV2023080042,Hoan My Sai Gon Premier Hospital,EG-590WR,1G348K870,ETC,Ống soi dạ dày,2023-08-15,2023-08-16,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080049,245 Clinic - Dr.Cuong Clinic,EC-250WL5,1C309K108,,Ống soi đại tràng,2023-08-22,2023-08-24,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080050,Thien Hanh Hospital,EG-720R,1G412K264,ETC,Ống soi dạ dày,2023-08-17,2023-08-23,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080056,"FUJIFILM Vietnam Co., Ltd.",EG-760R,2G402K022,,Ống soi dạ dày,2023-08-21,,,Approved: 20-Sep-23. ,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023080057,Hoan My Sai Gon Clinic,EG-250WR5,2G202K019,,Ống soi dạ dày,2023-08-24,2023-08-24,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080058,Hoan My Sai Gon Clinic,EC-250WL5,1C309K265,,Ống soi đại tràng,2023-08-17,2023-08-23,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080060,Phu Tho Town Hospital,EC-530WL3,JC643K003,,Ống soi đại tràng,2023-08-21,,,Approved: 24-Aug-23. ,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023080061,Nghe An Friendship General Hospital,EG-530WR,2G361K799,Promed,Ống soi dạ dày,2023-08-22,,,,prepairing quotation,Chuẩn bị báo giá,2.0,
FMSV2023080062,Lao Khoa Hospital,EG-530WR,1G361K957,,Ống soi dạ dày,2023-08-28,2023-09-07,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080063,Hanoi Medical University Hospital,EC-600WI,5C692K028,Trang Thi,Ống soi đại tràng,2023-08-24,,,Approved: 12-Sep-23. ,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023080064,Hanoi Medical University Hospital,EG-600WR,2G391K783,Trang Thi,Ống soi dạ dày,2023-08-22,2023-09-12,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080068,Hanoi Medical University Hospital,EG-600WR,2G391K288,Trang Thi,Ống soi dạ dày,2023-08-22,2023-08-28,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080069,Hanoi Medical University Hospital,CDL1909A(230V),1V620K266,Trang Thi,Màn hình,2023-08-28,2023-09-07,,,LP/waiting confirm,Chờ xác nhận,3.0,
FMSV2023080070,"FUJIFILM Vietnam Co., Ltd.",EG-590WR,5G348A471,,Ống soi dạ dày,2023-08-21,,2023-09-11,Approved: 20-Sep-23. ,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023080071,Bach Mai Hospital,EG-600WR,KG391K509,Trang Thi,Ống soi dạ dày,2023-08-22,,,Warranty Parts. ,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023080074,Bach Mai Hospital,EG-600WR,8G391K432,Trang Thi,Ống soi dạ dày,2023-08-23,2023-08-28,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080075,Bach Mai Hospital,EG-600WR,7G391K344,Trang Thi,Ống soi dạ dày,2023-08-23,2023-08-28,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080076,Bach Mai Hospital,EC-530WI,3C591A036,Trang Thi,Ống soi đại tràng,2023-08-23,2023-08-28,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080078,Bach Mai Hospital,EC-530WL3,1C643K192,Trang Thi,Ống soi đại tràng,2023-08-30,,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080079,Bach Mai Hospital,EC-720R/I,3C741K101,Trang Thi,Ống soi đại tràng,2023-08-24,2023-08-28,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080080,Bach Mai Hospital,EC-600WI,6C692K201,Trang Thi,Ống soi đại tràng,2023-08-23,,,,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023080081,FTYO - Loaner Asset,XL-4450,1S094K191,,Bộ nguồn sáng,2023-08-25,,,RU: . Old Stt: LP/waiting approved. ,LP/Transfer to sale team,Chờ xác nhận (quá 3 tháng),9.0,
FMSV2023080082,Tay Nguyen Regional General Hospital,EB-530S,5B089K052,ETC,Ống soi khí phế quản,2023-08-22,2023-08-24,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080083,Nam Lien Chieu General Hospital,EG-250WR5,1G202K617,,Ống soi dạ dày,2023-08-23,2023-08-23,,RU: . Old Stt: waiting confirm. ,Transfer to sale team,Chờ xác nhận (quá 3 tháng),9.0,2023-09-26
FMSV2023080084,TRUNG VUONG HOSPITAL,EG-530WR,4G361K015,ETC,Ống soi dạ dày,2023-08-24,2023-08-28,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080085,"FUJIFILM Vietnam Co., Ltd.",EC-600WI,1C692K077,,Ống soi đại tràng,2023-08-24,,,Approved: 20-Sep-23. ,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023080087,Quang Tri General Hospital,EG-530WR,JG361K198,,Ống soi dạ dày,2023-08-31,2023-09-07,,RU: . Old Stt: waiting confirm. ,Transfer to sale team,Chờ xác nhận (quá 3 tháng),9.0,
FMSV2023080091,Hoang Long Clinic,EC-760ZP-V/M,1C730K121,Trang Thi,Ống soi đại tràng,2023-08-28,,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080094,"FUJIFILM Vietnam Co., Ltd.",EG-600WR,1G391K928,,Ống soi dạ dày,2023-08-29,,2023-09-20,Approved: 20-Sep-23. ,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023080095,"FUJIFILM Vietnam Co., Ltd.",EC-530FI,1C653K505,,Ống soi đại tràng,2023-08-30,,2023-09-11,Approved: 20-Sep-23. ,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023080097,Bach Mai Hospital,ED-530XT,SD102A089,Trang Thi,Ống soi mật tụy,2023-08-30,,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080100,Bai Chay Hospital,EG-600WR,2G391K293,MDC,Ống soi dạ dày,2023-08-31,,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080101,Lam Hoa Private Hospital,EG-250WR5,1G202K490,,Ống soi dạ dày,2023-09-06,,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023080102,Lam Hoa Private Hospital,EG-250WR5,2G202K006,,Ống soi dạ dày,2023-09-06,,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090001,Nam Can Tho Medical Center,EC-530WL3,7C643K451,,Ống soi đại tràng,2023-09-05,,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090002,Van Hanh Hospital,EC-530WL3,KC643K396,ETC,Ống soi đại tràng,2023-09-05,,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090003,ETC Company,EP-6000,2V696K388,ETC,Bộ Xử lý,2023-09-06,,2023-09-19,Approved: 19-Sep-23. Warranty Parts. ,LP/waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023090004,103 Military Hospital,EC-600WI,3C692K105,,Ống soi đại tràng,2023-09-07,2023-09-12,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090005,103 Military Hospital,EG-600WR,5G391K105,,Ống soi dạ dày,2023-09-07,2023-09-08,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090007,Hoang Long Clinic,EG-760R,1G402K290,Trang Thi,Ống soi dạ dày,2023-09-11,2023-09-12,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090011,Bach Mai Hospital,EG-600WR,KG391K536,Trang Thi,Ống soi dạ dày,2023-09-11,,,Warranty Parts. ,waiting approved,Chờ duyệt bảo hành,2.5,
FMSV2023090012,Bach Mai Hospital,EG-600WR,8G391K377,Trang Thi,Ống soi dạ dày,2023-09-11,,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090013,Bach Mai Hospital,EC-600WI,6C692K137,Trang Thi,Ống soi đại tràng,2023-09-12,2023-09-12,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090014,Bach Mai Hospital,EC-600WI,5C692K022,Trang Thi,Ống soi đại tràng,2023-09-13,,,Warranty Parts. ,waiting approved,Chờ duyệt bảo hành,2.5,
FMSV2023090015,FTYO - Loaner Asset,EG-600WR,2G391K487,,Ống soi dạ dày,,,,,Received,Đã Nhận,0.0,
FMSV2023090016,"FUJIFILM Vietnam Co., Ltd.",EC-530WI3,1C642K347,,Ống soi đại tràng,,,,,Received,Đã Nhận,0.0,
FMSV2023090017,Hoan My Sai Gon Clinic,EC-250WL5,1C309K073,,Ống soi đại tràng,2023-09-08,2023-09-11,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090018,Hoan My Sai Gon Premier Hospital,EC-530WL3,5C643K346,ETC,Ống soi đại tràng,2023-09-08,2023-09-11,,,waiting confirm,Chờ xác nhận,3.0,
FMSV2023090020,"FUJIFILM Vietnam Co., Ltd.",EG-760Z,8G403K090,,Ống soi dạ dày,2023-09-20,,,,Received,Đã Nhận,0.0,
FMSV2023090021,"FUJIFILM Vietnam Co., Ltd.",EC-760R-V/I,1C728K140,,Ống soi đại tràng,2023-09-14,,,,waiting approved,Chờ duyệt bảo hành,2.5,
FMSV2023090025,Hanoi Medical University Hospital,XL-4450,3S094K699,Trang Thi,Bộ nguồn sáng,2023-09-15,2023-09-15,,,LP/waiting confirm,Chờ xác nhận,3.0,
FMSV2023090026,"FUJIFILM Vietnam Co., Ltd.",ED-580XT,2D127K107,,Ống soi mật tụy,2023-09-20,,,,Received,Đã Nhận,0.0,
FMSV2023090027,Nga Bay City General Hospital,EG-580NW2,6G390K061,,Ống soi dạ dày,2023-09-18,,,,Received,Đã Nhận,0.0,
FMSV2023090028,"FUJIFILM Vietnam Co., Ltd.",EG-250WR5,2G202K058,,Ống soi dạ dày,2023-09-18,,2023-09-19,Approved: 20-Sep-23. Warranty Parts. ,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023090029,Hanoi Medical University Hospital,EC-600WI,2C692K096,Trang Thi,Ống soi đại tràng,,,,,Under inspection,Đang Kiểm Tra,1.0,
FMSV2023090030,Hanoi Medical University Hospital,EC-600WI,5C692K026,Trang Thi,Ống soi đại tràng,,,,,Under inspection,Đang Kiểm Tra,1.0,
FMSV2023090031,Hanoi Medical University Hospital,EC-600WI,5C692K029,Trang Thi,Ống soi đại tràng,,,,,Under inspection,Đang Kiểm Tra,1.0,
FMSV2023090032,Hanoi Medical University Hospital,EG-600WR,4G391K119,Trang Thi,Ống soi dạ dày,2023-09-20,,,Start: .,Under repair,Đang sửa chữa,6.0,
FMSV2023090033,Hanoi Medical University Hospital,EG-600WR,2G391K125,Trang Thi,Ống soi dạ dày,2023-09-18,,,End: .,Completed repair,Hoàn tất sửa chữa,7.0,
FMSV2023090034,Hanoi Medical University Hospital,EG-600WR,2G391K044,Trang Thi,Ống soi dạ dày,2023-09-21,,,Start: .,Under repair,Đang sửa chữa,6.0,
FMSV2023090035,Hanoi Medical University Hospital,EG-600WR,7G391K075,Trang Thi,Ống soi dạ dày,,,,,Under inspection,Đang Kiểm Tra,1.0,
FMSV2023090036,Hanoi Medical University Hospital,EG-600WR,2G391K784,Trang Thi,Ống soi dạ dày,2023-09-19,,,End: .,Completed repair,Hoàn tất sửa chữa,7.0,
FMSV2023090037,Hanoi Medical University Hospital,EC-600WI,1C692K468,Trang Thi,Ống soi đại tràng,2023-09-19,,,End: .,Completed repair,Hoàn tất sửa chữa,7.0,
FMSV2023090038,Tam Anh General Hospital (Hanoi),EG-760R,9G402K358,,Ống soi dạ dày,,,,,Under inspection,Đang Kiểm Tra,1.0,
FMSV2023090039,"FUJIFILM Vietnam Co., Ltd.",EG-720R,1G412K182,,Ống soi dạ dày,,,,,Under inspection,Đang Kiểm Tra,1.0,
FMSV2023090040,No. 91 Endoscopy-Gastrointestinal-Gi Scaning Test Clinic,EC-760ZP-V/M,5C730K017,,Ống soi đại tràng,,,,,Received,Đã Nhận,0.0,
FMSV2023090041,Hue University Of Medicine And Pharmacy - Ginec,EC-530WI3,2C642D165,,Ống soi đại tràng,,,,,Under inspection,Đang Kiểm Tra,1.0,
FMSV2023090042,"FUJIFILM Vietnam Co., Ltd.",EG-580UT,5U047K004,,Ống soi siêu âm,2023-09-20,,,End: .,Completed repair,Hoàn tất sửa chữa,7.0,
FMSV2023090043,"FUJIFILM Vietnam Co., Ltd.",EG-740N,2G399K002,,Ống soi dạ dày,2023-09-20,,,End: .,Completed repair,Hoàn tất sửa chữa,7.0,
FMSV2023090044,"FUJIFILM Vietnam Co., Ltd.",EC-760R-V/I,6C728K116,,Ống soi đại tràng,2023-09-20,,,End: .,Completed repair,Hoàn tất sửa chữa,7.0,
FMSV2023090045,Minh Duc Hospital,EG-530NW,1G366K320,,Ống soi dạ dày,2023-09-20,,,Start: .,Under repair,Đang sửa chữa,6.0,
FMSV2023090046,Northern Quang Binh Regional General Hospital,EG-250WR5,1G202K638,,Ống soi dạ dày,,,,,Under inspection,Đang Kiểm Tra,1.0,
FMSV2023090047,Van Hanh Hospital,EC-530WL3,KC643K398,ETC,Ống soi đại tràng,,,,,Received,Đã Nhận,0.0,
FMSV2023090048,Vietnam – Cuba Donghoi Friendship Hospital,EC-760R-V/M,7C727K139,Promed,Ống soi đại tràng,,,,,Received,Đã Nhận,0.0,
FMSV2023090049,Bach Mai Hospital,EG-600WR,8G391K369,Trang Thi,Ống soi dạ dày,,,,,Under inspection,Đang Kiểm Tra,1.0,
FMSV2023090050,"FUJIFILM Vietnam Co., Ltd.",EG-760Z,1G403K314,,Ống soi dạ dày,,,,RU: . Old Stt: Receive. ,Received,Đã Nhận,0.0,
FMSV2023090051,Bach Mai Hospital,EG-600WR,8G391K433,Trang Thi,Ống soi dạ dày,,,,,Received,Đã Nhận,0.0,
FMSV2023090053,Bach Mai Hospital,EG-600WR,KG391K535,Trang Thi,Ống soi dạ dày,,,,,Received,Đã Nhận,0.0,
FMSV2023080096,Tam Anh General Hospital (Hanoi),EG-760R,9G402K358,,Ống soi dạ dày,,,,QC passed: 29-Aug. ,transfer table,,,
FMSV2023070027,Vinmec Times City International Hospital,EG-760Z,2G403K153,,Ống soi dạ dày,,2023-07-24,,RU: . Old Stt: waiting confirm. 2. Dealer working with end user,transfer table,Chờ xác nhận (quá 3 tháng),9.0,
FMSV2023050016,Thanh An- Ha Noi limited company,EG-760R,2G402K098,Trang Thi,Ống soi dạ dày,2023-05-15,2023-06-05,,RU: 23-Aug,transfer table,,,
FMSV2023050013,Thanh An- Ha Noi limited company,EG-760Z,1G403K362,Trang Thi,Ống soi dạ dày,2023-05-15,2023-06-05,,RU: 23-Aug,transfer table,,,
FMSV2023040066,K3 Hanoi National Cancer Hospital,EG-760R,1G402K680,,Ống soi dạ dày,2023-04-26,2023-04-28,,RU: 23-Aug,transfer table,,,
FMSV2023040065,K3 Hanoi National Cancer Hospital,EC-760R-V/I,2C728K080,,Ống soi đại tràng,2023-04-25,2023-05-08,,RU: 23-Aug,transfer table,,,
FMSV2023040064,K3 Hanoi National Cancer Hospital,EC-760R-V/I,1C728K447,,Ống soi đại tràng,2023-04-26,2023-05-04,,RU: 23-Aug,transfer table,,,
FMSV2023040063,K3 Hanoi National Cancer Hospital,EG-760R,1G402K679,,Ống soi dạ dày,2023-04-26,2023-05-04,,RU: 23-Aug,transfer table,,,
FMSV2023040019,Viet Tiep Friendship Hospital- Hai Phong,EC-530WI3,5C642K125,,Ống soi đại tràng,2023-04-14,2023-04-20,,RU: 23-Aug,transfer table,,,
FMSV2023080055,HAM YEN DISTRICT GENERAL HOSPITAL,EG-530NW,3G366K006,,Ống soi dạ dày,2023-08-17,,,RU: 23-Aug. Old Stt: prepairing quotation. ,transfer table,Chuẩn bị báo giá,2.0,
FMSV2023060041,Hoang Long Clinic,EC-760R-V/I,1C728K176,Trang Thi,Ống soi đại tràng,2023-06-20,,,RU: 23-Aug. Old Stt: prepairing quotation. SPR Project,transfer table,Chuẩn bị báo giá,2.0,
FMSV2023060064,"FUJIFILM Vietnam Co., Ltd.",EC-600ZW/M,1C694K023,,Ống soi đại tràng,2023-06-26,,,RU: 23-Aug. Old Stt: waiting approved. ,transfer table,Chờ duyệt bảo hành,2.5,
FMSV2023070015,Northwestern Nghe An hospital,EC-530LP,4C657A022,,Ống soi đại tràng,2023-07-13,2023-07-19,,RU: 23-Aug. Old Stt: waiting confirm. 1. Less than 4 weeks after giving the quotation,transfer table,Chờ xác nhận (quá 3 tháng),9.0,
FMSV2023070071,Bach Mai Hospital,EG-600WR,1G391K869,Trang Thi,Ống soi dạ dày,,,,,transfer table,,,
FMSV2023030069,Thong Nhat Hospital,EC-720R/I,1C741K218,Trang Thi,Ống soi đại tràng,2023-03-28,2023-03-29,,,transfer table,Chờ xác nhận (quá 3 tháng),9.0,
FMSV2023030041,Hue University of Medicine and Pharmacy - Ginec,EG-530WR,4G361A481,ETC,Ống soi dạ dày,2023-03-23,2023-04-14,,,transfer table,Chờ xác nhận (quá 3 tháng),9.0,
FMSV2023030040,Viet Duc Hospital,EC-760R-V/I,1C728K450,,Ống soi đại tràng,2023-03-23,2023-03-30,,,transfer table,Chờ xác nhận (quá 3 tháng),9.0,
FMSV2023040057,Viet Nhat Clinic 3 - Dr.Giang's clinic,VP-4450HD,3V567D229,,Bộ Xử lý,,2023-04-27,,,transfer table,Chờ xác nhận (quá 3 tháng),9.0,
FMSV2023030017,Hanoi Medical University Hospital,XL-4450,3S094K544,Trang Thi,Bộ nguồn sáng,,2023-03-16,,,transfer table,Chờ xác nhận (quá 3 tháng),9.0,
FMSV2023030058,Bach Mai Hospital,EG-600WR,8G391K381,Trang Thi,Ống soi dạ dày,,2023-06-23,,,transfer table,Chờ xác nhận (quá 3 tháng),9.0,
FMSV2023030003,Bach Mai Hospital,EG-600WR,8G391K427,Trang Thi,Ống soi dạ dày,2023-03-20,2023-03-23,,,transfer table,Chờ xác nhận (quá 3 tháng),9.0,
FMSV2023020036,Bach Mai Hospital,EG-720R,3G412K081,Trang Thi,Ống soi dạ dày,,2023-02-20,,,transfer table,Chờ xác nhận (quá 3 tháng),9.0,
FMSV2023020040,Hanoi Medical University Hospital,EG-600WR,7G391K084,Trang Thi,Ống soi dạ dày,2023-02-27,2023-02-27,,,transfer table,Chờ xác nhận (quá 3 tháng),9.0,
FMSV2023020047,Hanoi Medical University Hospital,EG-600WR,7G391K102,Trang Thi,Ống soi dạ dày,2023-02-27,2023-02-27,,,transfer table,Chờ xác nhận (quá 3 tháng),9.0,
FMSV2023020049,Hanoi Medical University Hospital,EG-600WR,7G391K082,Trang Thi,Ống soi dạ dày,2023-02-27,2023-02-27,,,transfer table,Chờ xác nhận (quá 3 tháng),9.0,
FMSV2023020056,Bach Mai Hospital,EG-600WR,8G391K437,Trang Thi,Ống soi dạ dày,2023-03-20,2023-03-23,,,transfer table,Chờ xác nhận (quá 3 tháng),9.0,
FMSV2023020058,Bach Mai Hospital,EC-600WI,6C692K130,Trang Thi,Ống soi đại tràng,2023-03-20,2023-03-23,,,transfer table,Chờ xác nhận (quá 3 tháng),9.0,
FMSV2023020005,Bach Mai Hospital,EC-600WI,6C692K033,Trang Thi,Ống soi đại tràng,2023-02-10,2023-02-20,,,transfer table,Chờ xác nhận (quá 3 tháng),9.0,
FMSV2023020061,Lam Hoa Private Hospital,EG-250WR5,1G202K360,,Ống soi dạ dày,,2023-03-01,,,transfer table,Chờ xác nhận (quá 3 tháng),9.0,
FMSV2023040069,ITO DONG NAI,EG-250WR5,3G202K019,ETC,Ống soi dạ dày,2023-05-12,2023-05-12,,,transfer table,Chờ xác nhận (quá 3 tháng),9.0,
FMSV2023030022,Hanoi Medical University Hospital,EG-600WR,2G391K084,Trang Thi,Ống soi dạ dày,,2023-03-22,,,transfer table,Chờ xác nhận (quá 3 tháng),9.0,
FMSV2023030054,Bach Mai Hospital,EG-580NW2,6G390K093,Trang Thi,Ống soi dạ dày,2023-04-04,2023-04-14,,,transfer table,Chờ xác nhận (quá 3 tháng),9.0,
FMSV2023030061,Hanoi Medical University Hospital,EC-600WI,1C692K738,Trang Thi,Ống soi đại tràng,,2023-03-30,,,transfer table,Chờ xác nhận (quá 3 tháng),9.0,
FMSV2023040039,Thien Duc International General Hospital- Ha Noi,EG-530WR,2G361K188,,Ống soi dạ dày,2023-04-20,2023-04-28,2023-08-31,,transfer table,Chờ xác nhận (quá 3 tháng),9.0,
FMSV2023020060,Bach Mai Hospital,EG-600WR,8G391K373,Trang Thi,Ống soi dạ dày,2023-03-20,2023-03-23,,,transfer table,Chờ xác nhận (quá 3 tháng),9.0,
FMSV2023020002,"FUJIFILM Vietnam Co., Ltd.",EG-720R,1G412K168,,Ống soi dạ dày,2023-02-06,,,,transfer table,Chuẩn bị linh kiện,4.0,
FMSV2023010001,Hoang Long Clinic,VP-4450HD,2V567K672,Trang Thi,Bộ Xử lý,2023-01-12,2023-01-10,,"RU, Keep at HN office",transfer table,Chờ xác nhận (quá 3 tháng),9.0,
FMSV2023010004,FTYO - Loaner Asset,VP-4450HD,1V567K312,,Bộ Xử lý,2023-01-12,,,,transfer table,Chuẩn bị linh kiện,4.0,
FMSV2023010026,"FUJIFILM Vietnam Co., Ltd.",EG-600WR,2G391K632,,Ống soi dạ dày,2023-01-16,,,,transfer table,Chờ duyệt bảo hành,2.5,
