rma,CUSTOMER_NAME,customer,location,model_d,sn,install_date,warranty_date,receive_date,inspection_date,start_time,end_time,repair_size,issue_part,ks,wr_report,change_stt,Approval,repair_status,e_score,w_score,update_time,return_date
FMSV2023110043,Hoang Long Clinic,FMSV00046,Hanoi,EC-760ZP-V/M,1C730K104,2017-05-24 00:00:00,2018-05-24 00:00:00,2023-11-20 17:29:08,2023-11-27 19:43:30,2023-11-27 17:45:22,2023-12-01 10:09:07,Nhẹ,Other,Nguyễn Tuấn Minh,,QC,Approval,Đã sửa xong,7.0,0.0,2023-12-01 12:14:47.366000,
FMSV2023110042,Hoang Long Clinic,FMSV00046,Hanoi,EC-760ZP-V/M,1C730K144,2017-09-22 00:00:00,2018-09-22 00:00:00,2023-11-20 17:28:26,2023-11-27 13:49:41,2023-11-27 11:51:23,2023-12-01 10:17:55,Nhẹ,Other,Nguyễn Tuấn Minh,,QC,Approval,Đã sửa xong,7.0,0.0,2023-12-01 12:18:44.527000,
FMSV2023090080,Hanoi Medical University Hospital,FMSV00079,Hanoi,XL-4450,2S094K543,2016-06-06 00:00:00,2017-06-06 00:00:00,2023-09-28 16:12:40,2023-09-29 10:25:38,2023-12-01 14:01:37,2023-12-05 09:23:20,Khác,Other,Nguyễn Tuấn Minh,,QC,Approval,Đã sửa xong,7.0,0.0,2023-12-11 10:44:43.767000,
FMSV2023090246,Hanoi Medical University Hospital,FMSV00079,Hanoi,XL-4450,3S094K980,2019-01-01 00:00:00,2020-01-01 00:00:00,2023-09-28 18:26:37,2023-09-29 13:59:10,2023-12-01 14:13:03,2023-12-05 09:22:22,Khác,Other,Nguyễn Tuấn Minh,,QC,Approval,Đã sửa xong,7.0,0.0,2023-12-11 10:45:13.746000,
FMSV2023090290,Hanoi Medical University Hospital,FMSV00079,Hanoi,XL-4450,3S094K526,2017-05-15 00:00:00,2018-05-15 00:00:00,2023-09-28 18:34:27,2023-09-29 15:18:57,2023-12-01 16:58:58,2023-12-05 09:24:02,Khác,Other,Nguyễn Tuấn Minh,,QC,Approval,Đã sửa xong,7.0,0.0,2023-12-11 10:45:58.433000,
FMSV2023110074,Hanoi Medical University Hospital,FMSV00079,Hanoi,EG-600WR,KG391K779,2023-10-30 00:00:00,2024-10-30 00:00:00,2023-11-30 12:25:37,2023-11-30 15:48:00,2023-11-30 18:22:13,2023-12-06 18:11:18,Nhẹ,Other,Nguyễn Tuấn Minh,WTY-FFVN-2311059R,QC,Approval,Đã sửa xong,7.0,0.5,2023-12-11 10:46:40.354000,
FMSV2023120011,Hanoi Medical University Hospital,FMSV00079,Hanoi,EG-600WR,KG391K781,2023-10-30 00:00:00,2024-10-30 00:00:00,2023-12-08 13:15:13,2023-12-08 15:51:21,2023-12-08 13:51:52,2023-12-08 18:34:06,Nhẹ,Other,Nguyễn Tuấn Minh,,QC,Approval,Đã sửa xong,7.0,0.0,2023-12-11 10:47:02.712000,
FMSV2023110061,71 National Hospital,FMSV00386,Hanoi,EG-530WR,9G361K427,2021-02-06 00:00:00,2022-02-06 00:00:00,2023-11-23 17:55:28,2023-11-28 19:16:25,2023-11-28 17:16:56,2023-11-30 18:33:08,Nhẹ,Other,Nguyễn Khắc Thắng,,Repair,Approval,Đang sửa chữa,6.0,0.0,2023-11-30 20:33:16.473000,
FMSV2023090163,Hanoi Medical University Hospital,FMSV00079,Hanoi,XL-4450,3S094K544,2017-05-15 00:00:00,2018-05-15 00:00:00,2023-09-28 17:08:26,2023-09-29 12:25:18,2023-12-01 13:40:26,2023-12-01 16:46:04,Khác,Other,Nguyễn Tuấn Minh,,Repair,Approval,Đang sửa chữa,6.0,0.0,2023-12-01 18:46:12.407000,
FMSV2023090252,Hanoi Medical University Hospital,FMSV00079,Hanoi,XL-4450,2S094K540,2016-05-18 00:00:00,,2023-09-28 18:27:39,2023-09-29 14:03:09,2023-12-01 16:45:13,2023-12-04 09:04:53,Khác,Other,Nguyễn Tuấn Minh,,Repair,Approval,Đang sửa chữa,6.0,0.0,2023-12-04 11:04:59.277000,
FMSV2023090289,Hanoi Medical University Hospital,FMSV00079,Hanoi,XL-4450,3S094K015,2017-01-18 00:00:00,2018-01-18 00:00:00,2023-09-28 18:34:17,2023-09-29 15:18:27,2023-12-01 16:45:35,2023-12-04 09:05:20,Khác,Other,Nguyễn Tuấn Minh,,Repair,Approval,Đang sửa chữa,6.0,0.0,2023-12-04 11:05:24.373000,
FMSV2023110062,HCAP asset,FMSV00293,Hanoi,EC-600WL,1C692K073,2014-06-11 00:00:00,2015-06-11 00:00:00,2023-11-23 17:56:55,2023-11-27 19:49:12,2023-12-05 15:10:33,2023-12-07 09:11:07,Nhẹ,Other,Lê Văn Hoàn,,Repair,Approval,Đang sửa chữa,6.0,0.0,2023-12-07 11:11:09.454000,
FMSV2023060047,Hoang Long Clinic,FMSV00046,Hanoi,EG-760Z,1G403K110,2017-02-08 00:00:00,2018-02-08 00:00:00,2023-06-19 16:25:50,2023-06-20 12:59:28,2023-12-07 17:40:51,2023-12-11 08:44:58,Nhẹ,Other,Lê Văn Hoàn,,Repair,Approval,Đang sửa chữa,6.0,0.0,2023-12-11 10:45:01.452000,
FMSV2023110075,"FUJIFILM Vietnam Co., Ltd.",FMSV,Hanoi,EC-600WI,1C692K249,2015-12-26 00:00:00,2016-12-26 00:00:00,2023-11-30 17:42:39,2023-12-01 11:52:48,2023-12-05 13:38:04,2023-12-11 08:47:45,Nhẹ,Other,Nguyễn Tuấn Minh,,Repair,Approval,Đang sửa chữa,6.0,0.0,2023-12-11 10:47:53.107000,
FMSV2023090074,Phu Tho General Hospital - Pediatric Center,FMSV00297,Hanoi,EG-530FP,4G374K154,2019-03-12 00:00:00,2020-03-12 00:00:00,2023-09-28 16:11:40,2023-09-29 10:21:17,2023-12-07 09:54:06,2023-12-11 08:49:00,Nặng,Other,Nguyễn Tuấn Minh,,Repair,Approval,Đang sửa chữa,6.0,0.0,2023-12-11 10:49:05.355000,
FMSV2023090069,Phu Tho General Hospital - Pediatric Center,FMSV00297,Hanoi,EG-530FP,4G374K157,2019-03-12 00:00:00,2020-03-12 00:00:00,2023-09-28 16:10:57,2023-09-28 23:54:54,2023-12-07 16:08:10,2023-12-11 18:04:35,Nặng,Other,Nguyễn Khắc Thắng,,Repair,Approval,Đang sửa chữa,6.0,0.0,2023-12-11 20:05:07.282000,
FMSV2023080002,Hanoi Medical University Hospital,FMSV00079,Hanoi,VP-4450HD,3V567K036,2019-01-01 00:00:00,2020-01-01 00:00:00,2023-08-01 16:02:24,2023-10-10 22:22:29,2023-12-11 16:19:28,,Khác,Other,Nguyễn Tuấn Minh,WTY-FFVN-2308028R,Authorization,Approval,Chuẩn bị sửa,5.0,0.5,2023-12-11 18:19:31.388000,
FMSV2023080022,"FUJIFILM Vietnam Co., Ltd.",FMSV,Hanoi,XL-4450,1S094A282,2011-10-25 00:00:00,,2023-08-07 13:46:46,2023-08-16 17:10:55,,,Nhẹ,Other,Ngân,,Authorization,Approval,Chuẩn bị sửa,5.0,0.0,2023-12-08 20:40:21.539000,
FMSV2023080056,"FUJIFILM Vietnam Co., Ltd.",FMSV,Hanoi,EG-760R,2G402K022,2018-04-20 00:00:00,2019-04-20 00:00:00,2023-08-16 20:46:16,2023-08-21 13:31:11,,,Nặng,Other,Ngân,,Authorization,Approval,Chuẩn bị sửa,5.0,0.0,2023-10-31 11:07:53.740000,
FMSV2023080057,Hoan My Sai Gon Clinic,FMSV00005,Hanoi,EG-250WR5,2G202K019,2018-07-23 00:00:00,2019-07-23 00:00:00,2023-08-22 17:03:45,2023-08-24 10:02:26,,,Nặng,Other,Ngân,,Authorization,Approval,Chuẩn bị sửa,5.0,0.0,2023-12-08 20:27:52.820000,
FMSV2023080058,Hoan My Sai Gon Clinic,FMSV00005,Hanoi,EC-250WL5,1C309K265,2018-07-04 00:00:00,2019-07-04 00:00:00,2023-08-17 15:47:17,2023-08-17 17:20:03,,,Nặng,Other,Ngân,,Authorization,Approval,Chuẩn bị sửa,5.0,0.0,2023-12-08 20:28:18.215000,
FMSV2023080085,"FUJIFILM Vietnam Co., Ltd.",FMSV,Hanoi,EC-600WI,1C692K077,2015-02-26 00:00:00,2016-02-26 00:00:00,2023-08-22 12:43:14,2023-08-24 17:30:53,,,Nặng,Other,Ngân,,Authorization,Approval,Chuẩn bị sửa,5.0,0.0,2023-10-31 11:11:08.285000,
FMSV2023080094,"FUJIFILM Vietnam Co., Ltd.",FMSV,Hanoi,EG-600WR,1G391K928,2015-12-26 00:00:00,2016-12-26 00:00:00,2023-08-24 19:25:29,2023-08-29 18:02:08,,,Nặng,Other,Ngân,,Authorization,Approval,Chuẩn bị sửa,5.0,0.0,2023-12-08 20:39:57.281000,
FMSV2023090003,ETC Company,FMSV00272,HCM,EP-6000,2V696K388,2023-02-06 00:00:00,2024-02-06 00:00:00,2023-09-05 15:40:28,2023-09-06 17:57:13,,,Khác,Other,Lê Quang Thông,WTY-FFVN-2309043,Authorization,Approval,Chuẩn bị sửa,5.0,0.5,2023-11-10 12:18:51.433000,
FMSV2023090011,Bach Mai Hospital,FMSV00038,HCM,EG-600WR,KG391K536,2023-08-02 00:00:00,2024-08-02 00:00:00,2023-09-08 13:56:54,2023-09-11 13:34:49,,,Nặng,Other,Lê Quang Thông,WTY-FFVN-2309044,Authorization,Approval,Chuẩn bị sửa,5.0,0.5,2023-11-10 12:18:38.938000,
FMSV2023090038,Tam Anh General Hospital (Hanoi),FMSV00413,Hanoi,EG-760R,9G402K358,2022-01-30 00:00:00,2023-01-30 00:00:00,2023-09-18 15:23:54,2023-09-18 15:29:49,,,Nặng,Other,Ngân,,Authorization,Approval,Chuẩn bị sửa,5.0,0.0,2023-12-08 20:29:08.837000,
FMSV2023080082,Tay Nguyen Regional General Hospital,FMSV00316,Hanoi,EB-530S,5B089K052,2020-05-28 00:00:00,2021-05-28 00:00:00,2023-08-22 09:58:25,2023-08-22 10:16:17,,,Nặng,Other,Ngân,,Authorization,Approval,Chuẩn bị sửa,5.0,0.0,2023-12-08 20:28:42.348000,
FMSV2023090001,Nam Can Tho Medical Center,FMSV00408,Hanoi,EC-530WL3,7C643K451,2022-07-20 00:00:00,2023-07-20 00:00:00,2023-09-05 14:20:43,2023-09-05 14:51:06,,,Nặng,Other,Ngân,WTY-FFVN-2309041,Authorization,Approval,Chuẩn bị sửa,5.0,0.5,2023-12-08 20:38:20.874000,
FMSV2023100001,Van Hanh Hospital,FMSV00012,Hanoi,EC-530WL3,8C643K407,2022-06-01 00:00:00,2023-06-01 00:00:00,2023-10-02 17:03:42,2023-10-04 13:05:17,2023-12-07 08:56:55,,Nặng,Other,Ngân,,Authorization,Approval,Chuẩn bị sửa,5.0,0.0,2023-12-08 20:31:13.272000,
FMSV2023070077,"FUJIFILM Vietnam Co., Ltd.",FMSV,Hanoi,EG-600WR,1G391K315,2014-10-12 00:00:00,2015-10-11 00:00:00,2023-07-31 12:32:14,2023-08-02 11:16:02,,,Nặng,Other,Nguyễn Khắc Thắng,,Authorization,Approval,Chuẩn bị sửa,5.0,0.0,2023-11-03 19:16:34.341000,
FMSV2023090066,"FUJIFILM Vietnam Co., Ltd.",FMSV,Hanoi,EG-760R,1G402K223,2017-11-27 00:00:00,2018-11-27 00:00:00,2023-09-28 16:42:15,2023-09-29 16:07:46,,,Nhẹ,Other,Ngân,,Authorization,Approval,Chuẩn bị sửa,5.0,0.0,2023-12-08 20:46:26.985000,
FMSV2023100038,"FUJIFILM Vietnam Co., Ltd.",FMSV,Hanoi,EC-760R-V/I,1C728K139,2016-11-27 00:00:00,2017-11-27 00:00:00,2023-10-24 16:42:59,2023-10-27 17:40:18,2023-11-09 09:40:15,2023-11-09 09:40:13,Nhẹ,Other,Ngân,,Authorization,Approval,Chuẩn bị sửa,5.0,0.0,2023-12-08 20:46:49.958000,
FMSV2023040070,"FUJIFILM Vietnam Co., Ltd.",FMSV,Hanoi,EG-590WR,2G348K408,2017-07-01 00:00:00,2018-07-01 00:00:00,2023-04-26 17:39:10,2023-05-18 15:07:53,,,Nặng,Other,Ngân,,Authorization,Approval,Chuẩn bị sửa,5.0,0.0,2023-12-08 20:47:09.879000,
FMSV2023100011,"FUJIFILM Vietnam Co., Ltd.",FMSV,Hanoi,EC-530WL3,3C643K019,2019-06-04 00:00:00,2020-06-04 00:00:00,2023-10-06 19:54:31,2023-10-10 18:46:57,,,Nặng,Other,Ngân,,Authorization,Approval,Chuẩn bị sửa,5.0,0.0,2023-12-08 20:44:26.766000,
FMSV2023050045L,"FUJIFILM Vietnam Co., Ltd.",FMSV,Hanoi,EC-530WI,4C591A001,2013-07-04 00:00:00,2014-07-04 00:00:00,2023-06-13 15:36:36,2023-07-04 13:06:49,,,Nặng,Other,Ngân,,Authorization,Approval,Chuẩn bị sửa,5.0,0.0,2023-12-08 20:47:35.181000,
FMSV2023060068,"FUJIFILM Vietnam Co., Ltd.",FMSV,Hanoi,EG-530WR,5G361K065,2019-09-11 00:00:00,2020-09-11 00:00:00,2023-06-29 16:23:13,2023-06-30 11:30:49,,,Nặng,Other,Ngân,,Authorization,Approval,Chuẩn bị sửa,5.0,0.0,2023-12-08 20:44:54.139000,
FMSV2023090039,"FUJIFILM Vietnam Co., Ltd.",FMSV,Hanoi,EG-720R,1G412K182,2019-04-20 00:00:00,2020-04-20 00:00:00,2023-09-18 16:17:39,2023-09-21 11:02:09,,,Nặng,Other,Ngân,,Authorization,Approval,Chuẩn bị sửa,5.0,0.0,2023-12-08 20:48:06.269000,
FMSV2023080038,"FUJIFILM Vietnam Co., Ltd.",FMSV,Hanoi,EG-600WR,1G391K524,2015-02-26 00:00:00,2016-02-26 00:00:00,2023-08-10 12:29:14,2023-08-11 11:15:13,,,Nặng,Other,Ngân,,Authorization,Approval,Chuẩn bị sửa,5.0,0.0,2023-12-08 20:46:03.205000,
FMSV2023090015,FTYO - Loaner Asset,FMSV00080,Hanoi,EG-600WR,2G391K487,,2018-05-24 00:00:00,2023-09-08 15:01:08,2023-10-04 17:07:00,,,Nặng,Other,Ngân,,Authorization,Approval,Chuẩn bị sửa,5.0,0.0,2023-12-08 20:45:35.930000,
FMSV2023090021,"FUJIFILM Vietnam Co., Ltd.",FMSV,Hanoi,EC-760R-V/I,1C728K140,2016-12-20 00:00:00,2017-12-20 00:00:00,2023-09-12 11:42:21,2023-09-14 16:58:37,,,Nặng,Other,Ngân,,Authorization,Approval,Chuẩn bị sửa,5.0,0.0,2023-12-08 20:48:43.667000,
FMSV2023090047,Van Hanh Hospital,FMSV00012,HCM,EC-530WL3,KC643K398,2023-08-15 00:00:00,2024-08-29 00:00:00,2023-10-02 17:24:00,2023-10-24 11:50:28,2023-12-11 08:02:26,,Nặng,Other,Nguyễn Thái Nguyên,WTY-FFVN-2310051,Authorization,Approval,Chuẩn bị sửa,5.0,0.5,2023-12-11 10:02:27.958000,
FMSV2023090059,Hung Viet Cancer Hospital,FMSV00261,HCM,EG-760Z,8G403K185,2022-11-11 00:00:00,2023-11-11 00:00:00,2023-09-26 11:58:25,2023-09-29 18:28:24,,,Nặng,Other,Lê Quang Thông,WTY-FFVN-2310047,Authorization,Approval,Chuẩn bị sửa,5.0,0.5,2023-11-10 15:52:24.720000,
FMSV2023090054,Hanoi Oncology Hospital,FMSV00426,HCM,EC-530WL3,KC643K241,2023-03-13 00:00:00,2024-03-13 00:00:00,2023-09-25 18:31:05,2023-09-28 17:24:28,,,Nặng,Other,Lê Quang Thông,WTY-FFVN-2310046,Authorization,Approval,Chuẩn bị sửa,5.0,0.5,2023-11-10 15:52:57.663000,
FMSV2023090002,Van Hanh Hospital,FMSV00012,HCM,EC-530WL3,KC643K396,2023-08-15 00:00:00,2024-08-15 00:00:00,2023-09-05 14:54:13,2023-09-05 14:57:45,2023-12-11 08:02:09,,Nặng,Other,Nguyễn Thái Nguyên,WTY-FFVN-2309042,Authorization,Approval,Chuẩn bị sửa,5.0,0.5,2023-12-11 10:02:11.713000,
FMSV2023090150,Vinmec Times City International Hospital,FMSV00315,Hanoi,EG-760Z,2G403K153,2019-09-15 00:00:00,2020-09-15 00:00:00,2023-09-28 17:03:55,2023-09-29 11:40:44,,,Nặng,Other,Trần Minh Đức,,QC,Cancel,Chờ xác nhận (quá 3 tháng),9.0,0.0,2023-11-15 16:24:31.809000,
FMSV2023110032,Bach Mai Hospital,FMSV00038,HCM,EG-600WR,KG391K538,,2024-08-02 00:00:00,2023-11-15 13:36:18,2023-11-20 13:03:52,,,Nặng,Other,Lê Quang Thông,WTY-FFVN-2311053,Authorization,Approval,Chuẩn bị sửa,5.0,0.5,2023-11-24 18:05:41.921000,
FMSV2023110035,Hoan My Da Nang Hospital,FMSV00009,HCM,EG-530WR,JG361K638,2023-06-13 00:00:00,2024-06-13 00:00:00,2023-11-16 12:26:49,2023-11-17 12:42:44,,,Nặng,Other,Lê Quang Thông,WTY-FFVN-2311052,Authorization,Approval,Chuẩn bị sửa,5.0,0.5,2023-11-24 18:05:58.915000,
FMSV2023080008,Thai Binh city general hospital,FMSV00183,Hanoi,EG-530WR,LG361K344,2023-03-21 00:00:00,2024-03-21 00:00:00,2023-08-03 17:17:21,2023-08-08 17:48:14,2023-12-11 18:07:25,,Nặng,Other,Nguyễn Khắc Thắng,WTY-FFVN-2308031,Authorization,Approval,Chuẩn bị sửa,5.0,0.5,2023-12-11 20:07:26.885000,
FMSV2023100003,Van Hanh Hospital,FMSV00012,HCM,EC-250WL5,SC309A048,2015-08-06 00:00:00,2016-08-05 00:00:00,2023-10-02 17:57:10,2023-10-04 12:50:43,,,Nặng,Other,Lê Quang Thông,,Authorization,Approval,Chuẩn bị sửa,5.0,0.0,2023-11-27 13:12:14.127000,
FMSV2023050072,"FUJIFILM Vietnam Co., Ltd.",FMSV,HCM,EG-600WR,1G391K564,2015-07-08 00:00:00,2016-07-07 00:00:00,2023-05-29 18:47:44,2023-06-02 13:29:45,,,Nặng,Other,Lê Quang Thông,,Authorization,Approval,Chuẩn bị sửa,5.0,0.0,2023-11-27 13:25:21.866000,
FMSV2023100041,Vinh Duc General Hospital,FMSV00360,Hanoi,EC-530WL3,JG643K005,2022-07-28 00:00:00,2023-07-28 00:00:00,2023-11-01 13:05:07,2023-11-02 17:18:20,2023-12-04 14:13:49,,Nặng,Other,Ngân,,Authorization,Approval,Chuẩn bị sửa,5.0,0.0,2023-12-08 20:33:42.791000,
FMSV2023090103,No. 91 Endoscopy-Gastrointestinal-Gi Scaning Test Clinic,FMSV00059,Hanoi,EG-760R,1G402K686,2017-10-30 00:00:00,2018-10-30 00:00:00,2023-09-28 16:55:38,2023-09-29 10:50:38,,,Nặng,Other,Trần Minh Đức,,Authorization,Approval,Chuẩn bị sửa,5.0,0.0,2023-12-04 16:15:06.226000,
FMSV2023070056,"FUJIFILM Vietnam Co., Ltd.",FMSV,HCM,EG-530WR,2G361K131,2019-06-01 00:00:00,2020-06-01 00:00:00,2023-07-21 10:58:51,2023-07-21 11:05:43,,,Nặng,Other,Lê Quang Thông,,Authorization,Approval,Chuẩn bị sửa,5.0,0.0,2023-12-11 10:51:18.621000,
FMSV2023110006,Hoang Long Clinic,FMSV00046,HCM,EC-760R-V/I,1C728K173,2017-01-09 00:00:00,2018-01-09 00:00:00,2023-11-02 18:24:52,2023-11-06 12:05:26,,,Nhẹ,Other,Lê Quang Thông,,Authorization,Approval,Chuẩn bị sửa,5.0,0.0,2023-12-11 10:51:32.958000,
FMSV2023110029,Bach Mai Hospital,FMSV00038,HCM,EG-600WR,8G391K375,2021-08-06 00:00:00,2022-08-12 00:00:00,2023-11-15 13:31:43,2023-11-22 17:05:13,,,Nhẹ,Other,Lê Quang Thông,,Authorization,Approval,Chuẩn bị sửa,5.0,0.0,2023-12-11 10:51:46.202000,
FMSV2023110049,Hoang Long Clinic,FMSV00046,HCM,EG-600WR,1G391K939,2015-12-26 00:00:00,2016-12-26 00:00:00,2023-11-20 17:38:29,2023-11-22 13:16:28,,,Nhẹ,Other,Lê Quang Thông,,Authorization,Approval,Chuẩn bị sửa,5.0,0.0,2023-12-11 10:51:54.367000,
FMSV2023110067,"FUJIFILM Vietnam Co., Ltd.",FMSV,HCM,EG-760R,6G402K254,2023-02-08 00:00:00,2024-02-08 00:00:00,2023-11-28 12:42:51,2023-12-08 13:30:15,,,Khác,Other,Lê Quang Thông,,QC,Inspection,Đã sửa xong,7.0,0.0,2023-12-08 15:33:47.352000,
FMSV2023090062,Hoan My Da Nang Hospital,FMSV00009,Hanoi,EC-530WL3,KC643K008,2023-06-13 00:00:00,2024-06-13 00:00:00,2023-09-29 11:37:35,2023-10-04 15:23:21,,,Nặng,Other,Ngân,WTY-FFVN-2310048-REJECTED,Authorization,Approval,Chuẩn bị sửa,5.0,0.0,2023-12-11 10:43:10.616000,
FMSV2023090237,Hue University Of Medicine And Pharmacy - Ginec,FMSV00043,Hanoi,EG-530CT,4G375A101,2013-11-11 00:00:00,,2023-09-28 18:25:02,2023-09-29 13:42:55,,,Nặng,Other,Trần Minh Đức,,Authorization,Approval,Chuẩn bị sửa,5.0,0.0,2023-12-11 10:27:12.240000,
FMSV2023030069,Thong Nhat Hospital,FMSV00007,Hanoi,EC-720R/I,1C741K218,2019-12-24 00:00:00,2020-12-24 00:00:00,2023-03-28 10:34:42,2023-03-28 11:15:38,,,Nhẹ,Other,Trần Minh Đức,,Authorization,Approval,Chuẩn bị sửa,5.0,0.0,2023-12-11 10:33:16.319000,
FMSV2023100010,Hanoi Oncology Hospital,FMSV00426,HCM,EG-530WR,LG361K013,2023-03-13 00:00:00,2024-03-13 00:00:00,2023-10-06 18:04:55,2023-10-13 13:48:16,,,Nặng,Other,Lê Quang Thông,FFVN-2310050,Authorization,Approval,Chuẩn bị sửa,5.0,0.5,2023-12-11 14:35:20.286000,
FMSV2023080014,Bach Mai Hospital,FMSV00038,HCM,EG-600WR,7G391K123,2021-02-23 00:00:00,2022-03-01 00:00:00,2023-08-07 13:42:11,2023-08-10 12:27:48,,,Nặng,Other,Lê Quang Thông,,Parts Selection,,Chờ xác nhận,4.0,0.0,2023-10-07 22:21:35.205000,
FMSV2023080015,Bach Mai Hospital,FMSV00038,HCM,EG-600WR,8G391K425,2021-11-20 00:00:00,2022-11-20 00:00:00,2023-08-07 13:42:41,2023-08-10 13:39:48,,,Nặng,Other,Lê Quang Thông,,Parts Selection,,Chờ xác nhận,4.0,0.0,2023-10-07 22:32:05.419000,
FMSV2023080016,Bach Mai Hospital,FMSV00038,HCM,EC-600WI,6C692K127,2021-08-06 00:00:00,2022-08-12 00:00:00,2023-08-07 13:43:24,2023-08-10 17:28:06,,,Nặng,Other,Lê Quang Thông,,Parts Selection,,Chờ xác nhận,4.0,0.0,2023-10-07 22:32:31.103000,
