rma_id,customer,MODEL,sn,Territory,type_s,tr_date,quotation_date,confirm_date,repair_note,status,p_status,p_score,return_date
FMSV2023090069,Phu Tho General Hospital - Pediatric Center,EG-530FP,4G374K157,,Ống soi dạ dày,2023-09-28,2023-10-07,2023-10-31,,QC,Đã sửa xong,7.0,
FMSV2023120023,"FUJIFILM Vietnam Co., Ltd.",EC-760R-V/I,7C728K101,Demo,Ống soi đại tràng,2023-12-18,2023-12-18,2023-12-18,,QC,Đã sửa xong,7.0,
FMSV2023090074,Phu Tho General Hospital - Pediatric Center,EG-530FP,4G374K154,,Ống soi dạ dày,2023-09-29,2023-10-07,2023-10-31,,QC,Đã sửa xong,7.0,
FMSV2023090289,Hanoi Medical University Hospital,XL-4450,3S094K015,North,Bộ nguồn sáng,2023-09-29,2023-10-07,2023-10-31,,QC,Đã sửa xong,7.0,
FMSV2023090163,Hanoi Medical University Hospital,XL-4450,3S094K544,North,Bộ nguồn sáng,2023-09-29,2023-10-07,2023-10-31,,QC,Đã sửa xong,7.0,
FMSV2023090252,Hanoi Medical University Hospital,XL-4450,2S094K540,North,Bộ nguồn sáng,2023-09-29,2023-10-07,2023-10-31,,QC,Đã sửa xong,7.0,
FMSV2023120047,"FUJIFILM Vietnam Co., Ltd.",EC-760ZP-V/M,2C730K026,Demo,Ống soi đại tràng,2023-12-29,2023-12-29,2023-12-29,,QC,Đã sửa xong,7.0,
FMSV2023120046,"FUJIFILM Vietnam Co., Ltd.",EG-760R,JG402K336,Demo,Ống soi dạ dày,2023-12-29,2023-12-29,2023-12-29,,QC,Đã sửa xong,7.0,
FMSV2023120045,"FUJIFILM Vietnam Co., Ltd.",BL-7000,7S101K272,Demo,Bộ nguồn sáng,2023-12-29,2023-12-29,2023-12-29,,QC,Đã sửa xong,7.0,
FMSV2023120044,"FUJIFILM Vietnam Co., Ltd.",VP-7000,6V644K427,Demo,Bộ Xử lý,2023-12-29,2023-12-29,2023-12-29,,QC,Đã sửa xong,7.0,
FMSV2023120026,"FUJIFILM Vietnam Co., Ltd.",EG-760R,2G402K099,Demo,Ống soi dạ dày,2023-12-15,2023-12-15,2023-12-15,,QC,Đã sửa xong,7.0,
FMSV2023120025,Hung Cuong General Hospital,EG-530WR,JG361K231,North,Ống soi dạ dày,2023-12-22,2023-12-22,2023-12-22,,QC,Đã sửa xong,7.0,
FMSV2023120035,"FUJIFILM Vietnam Co., Ltd.",EC-530WI,1C603K041,Demo,Ống soi đại tràng,2023-12-22,2023-12-22,2023-12-22,,QC,Đã sửa xong,7.0,
FMSV2023120006,Thai Binh Hospital,EG-530WR,LG361K357,North,Ống soi dạ dày,2023-12-07,2023-12-07,2023-12-22,,QC,Đã sửa xong,7.0,
FMSV2023120049,Viet Duc Hospital,EC-760R-V/I,8C728K201,North,Ống soi đại tràng,2024-01-02,2024-01-02,2024-01-02,,QC,Đã sửa xong,7.0,
FMSV2023120053,Thai Binh Hospital,EC-530WL3,KC643K248,North,Ống soi đại tràng,2024-01-02,2024-01-02,2024-01-02,,QC,Đã sửa xong,7.0,
FMSV2023120031,Nghe An Friendship General Hospital,EC-530WL3,5C643K347,North,Ống soi đại tràng,2023-12-28,2024-01-02,2024-01-02,,QC,Đã sửa xong,7.0,
FMSV2023120052,"FUJIFILM Vietnam Co., Ltd.",EG-530WR,4G361K141,Demo,Ống soi dạ dày,2024-01-03,2024-01-03,2024-01-03,,QC,Đã sửa xong,7.0,
FMSV2023070077,"FUJIFILM Vietnam Co., Ltd.",EG-600WR,1G391K315,Demo,Ống soi dạ dày,2023-08-02,2023-10-25,2023-11-03,,QC,Đã sửa xong,7.0,
FMSV2023120014,Hanoi Medical University Hospital,XL-4450,2S094K444,North,Bộ nguồn sáng,2023-12-20,2023-12-20,2023-12-20,,QC,Đã sửa xong,7.0,
FMSV2024010016,Bach Mai Hospital,EG-600WR,KG391K506,,Ống soi dạ dày,2024-01-11,2024-01-11,2024-01-11,,QC,Đã sửa xong,7.0,
FMSV2024010023,Buon Ma Thuot Medical University Hospital,EC-720R/I,3C741K114,,Ống soi đại tràng,2024-01-17,2024-01-15,2024-01-17,,QC,Đã sửa xong,7.0,
FMSV2023080038,"FUJIFILM Vietnam Co., Ltd.",EG-600WR,1G391K524,Demo,Ống soi dạ dày,2023-08-11,2023-10-25,2023-11-07,,Repair,Đang sửa chữa,6.0,
FMSV2023120054,245 Clinic - Dr.Cuong Clinic,EC-250WL5,3C309K057,South,Ống soi đại tràng,2024-01-09,2024-01-09,2024-01-09,,Repair,Đang sửa chữa,6.0,
FMSV2023080022,"FUJIFILM Vietnam Co., Ltd.",XL-4450,1S094A282,Demo,Bộ nguồn sáng,2023-08-16,2023-10-25,2023-10-31,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023080056,"FUJIFILM Vietnam Co., Ltd.",EG-760R,2G402K022,Demo,Ống soi dạ dày,2023-08-21,2023-10-25,2023-10-31,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023080085,"FUJIFILM Vietnam Co., Ltd.",EC-600WI,1C692K077,Demo,Ống soi đại tràng,2023-08-24,2023-10-25,2023-10-31,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023090066,"FUJIFILM Vietnam Co., Ltd.",EG-760R,1G402K223,Demo,Ống soi dạ dày,2023-09-29,2023-10-25,2023-11-07,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023100038,"FUJIFILM Vietnam Co., Ltd.",EC-760R-V/I,1C728K139,Demo,Ống soi đại tràng,2023-10-27,2023-11-07,2023-11-07,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023040070,"FUJIFILM Vietnam Co., Ltd.",EG-590WR,2G348K408,Demo,Ống soi dạ dày,2023-05-18,2023-10-25,2023-11-07,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023100011,"FUJIFILM Vietnam Co., Ltd.",EC-530WL3,3C643K019,Demo,Ống soi đại tràng,2023-10-10,2023-10-25,2023-11-07,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023050045L,"FUJIFILM Vietnam Co., Ltd.",EC-530WI,4C591A001,Demo,Ống soi đại tràng,2023-07-04,2023-10-25,2023-11-07,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023060068,"FUJIFILM Vietnam Co., Ltd.",EG-530WR,5G361K065,Demo,Ống soi dạ dày,2023-06-30,2023-10-25,2023-11-07,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023090039,"FUJIFILM Vietnam Co., Ltd.",EG-720R,1G412K182,Demo,Ống soi dạ dày,2023-09-21,2023-10-25,2023-11-07,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023090015,FTYO - Loaner Asset,EG-600WR,2G391K487,Loaner,Ống soi dạ dày,2023-10-04,2023-10-25,2023-11-07,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023090021,"FUJIFILM Vietnam Co., Ltd.",EC-760R-V/I,1C728K140,Demo,Ống soi đại tràng,2023-09-14,2023-10-25,2023-11-07,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023090059,Hung Viet Cancer Hospital,EG-760Z,8G403K185,,Ống soi dạ dày,2023-09-29,2023-10-25,2023-11-10,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023090150,Vinmec Times City International Hospital,EG-760Z,2G403K153,,Ống soi dạ dày,2023-09-29,2023-10-25,2023-11-15,,QC,Đã sửa xong,7.0,
FMSV2023110035,Hoan My Da Nang Hospital,EG-530WR,JG361K638,South,Ống soi dạ dày,2023-11-17,2023-11-24,2023-11-24,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023050072,"FUJIFILM Vietnam Co., Ltd.",EG-600WR,1G391K564,Demo,Ống soi dạ dày,2023-06-02,2023-10-25,2023-11-27,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023070056,"FUJIFILM Vietnam Co., Ltd.",EG-530WR,2G361K131,Demo,Ống soi dạ dày,2023-07-21,2023-10-25,2023-12-05,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023110006,Hoang Long Clinic,EC-760R-V/I,1C728K173,North,Ống soi đại tràng,2023-11-06,2023-12-05,2023-12-05,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023110029,Bach Mai Hospital,EG-600WR,8G391K375,,Ống soi dạ dày,2023-11-22,2023-12-05,2023-12-05,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023110049,Hoang Long Clinic,EG-600WR,1G391K939,North,Ống soi dạ dày,2023-11-22,2023-12-05,2023-12-05,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023090062,Hoan My Da Nang Hospital,EC-530WL3,KC643K008,South,Ống soi đại tràng,2023-10-04,2023-10-25,2023-12-11,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023090237,Hue University Of Medicine And Pharmacy - Ginec,EG-530CT,4G375A101,South,Ống soi dạ dày,2023-09-29,2023-10-07,2023-12-11,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023030069,Thong Nhat Hospital,EC-720R/I,1C741K218,South,Ống soi đại tràng,2023-12-18,2023-12-19,2023-12-11,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023100010,Hanoi Oncology Hospital,EG-530WR,LG361K013,,Ống soi dạ dày,2023-10-13,2023-10-25,2023-12-11,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023110073,Hanoi Medical University Hospital,EG-600WR,KG391K792,North,Ống soi dạ dày,2023-12-12,2023-12-12,2023-12-12,,QC,Đã sửa xong,7.0,
FMSV2023110071,Hanoi Medical University Hospital,EG-600WR,KG391K801,North,Ống soi dạ dày,2023-11-30,2023-12-13,2023-12-13,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023110072,Hanoi Medical University Hospital,EG-600WR,KG391K797,North,Ống soi dạ dày,2023-11-30,2023-12-13,2023-12-13,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023120001,Nhat Tan General Hospital,EC-530WL3,KC643K535,,Ống soi đại tràng,2023-12-04,2023-12-08,2023-12-13,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023120007,Thai Binh Hospital,EC-530WL3,KC643K304,North,Ống soi đại tràng,2023-12-07,2023-12-18,2023-12-18,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023120024,Hanoi Medical University Hospital,EG-600WR,KG391K800,North,Ống soi dạ dày,2023-12-15,2023-12-18,2023-12-18,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023120041,"FUJIFILM Vietnam Co., Ltd.",EG-600WR,1G391K560,Demo,Ống soi dạ dày,2023-12-22,2023-12-22,2023-12-22,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023120039,"FUJIFILM Vietnam Co., Ltd.",EG-740N,2g399k001,Demo,Ống soi dạ dày,2023-12-22,2023-12-22,2023-12-22,,QC,Đã sửa xong,7.0,
FMSV2023120037,"FUJIFILM Vietnam Co., Ltd.",EG-580UT,5U047K007,Demo,Ống soi siêu âm,2023-12-22,2023-12-22,2023-12-22,,QC,Đã sửa xong,7.0,
FMSV2023110031,Bach Mai Hospital,EG-600WR,KG391K535,,Ống soi dạ dày,2023-11-22,2023-11-28,2023-12-25,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023120010,Binh Phuoc General Hospital,EC-530WL3,3C643K039,,Ống soi đại tràng,2023-12-12,2023-12-25,2023-12-25,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023090027,Nga Bay City General Hospital,EG-580NW2,6G390K061,,Ống soi dạ dày,2024-01-08,2023-10-07,2023-12-25,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023120005,Dai Duong Tien Hai General Clinic,EG-530WR,9G361K616,,Ống soi dạ dày,2023-12-05,2023-12-07,2023-12-27,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023120043,Family Hospital Da Nang,EC-530WL3,JC643K002,,Ống soi đại tràng,2023-12-25,2024-01-03,2024-01-03,,Authorization,Chuẩn bị sửa,5.0,
FMSV2024010008,Bach Mai Hospital,EG-600WR,KG391K503,,Ống soi dạ dày,2024-01-04,2024-01-05,2024-01-08,,Authorization,Chuẩn bị sửa,5.0,
FMSV2024010012,Sai Gon-Nam Dinh General Hospital,EG-530WR,LG361K425,North,Ống soi dạ dày,2024-01-09,2024-01-10,2024-01-10,,Authorization,Chuẩn bị sửa,5.0,
FMSV2024010010,"FUJIFILM Vietnam Co., Ltd.",SU-1-H,3V658K014,Demo,Bộ Xử lý,2024-01-12,2024-01-12,2024-01-12,,Authorization,Chuẩn bị sửa,5.0,
FMSV2024010030,Hoang Long Clinic,EG-760Z,1G403K158,North,Ống soi dạ dày,2024-01-18,2024-01-18,2024-01-18,,Authorization,Chuẩn bị sửa,5.0,
FMSV2024010011,"FUJIFILM Vietnam Co., Ltd.",EN-450T5,1C675D055,Demo,Ống soi ruột non,2024-01-19,2024-01-19,2024-01-19,,Authorization,Chuẩn bị sửa,5.0,
FMSV2024010005,DR Trung Clinic,EC-530WI3,1C642K364,,Ống soi đại tràng,2024-01-08,2024-01-16,2024-01-19,,Authorization,Chuẩn bị sửa,5.0,
FMSV2024010019,Bach Mai Hospital,EG-600WR,KG391K662,,Ống soi dạ dày,2024-01-17,2024-01-19,2024-01-19,,Authorization,Chuẩn bị sửa,5.0,
FMSV2024010035,"FUJIFILM Vietnam Co., Ltd.",EP-6000,1V696K004,Demo,Bộ Xử lý,2024-01-19,2024-01-19,2024-01-19,,Authorization,Chuẩn bị sửa,5.0,
FMSV2024010033,"FUJIFILM Vietnam Co., Ltd.",EG-720R,JG402K330,Demo,Ống soi dạ dày,2024-01-19,2024-01-19,2024-01-19,,Authorization,Chuẩn bị sửa,5.0,
FMSV2023080014,Bach Mai Hospital,EG-600WR,7G391K123,,Ống soi dạ dày,2023-08-10,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023080015,Bach Mai Hospital,EG-600WR,8G391K425,,Ống soi dạ dày,2023-08-10,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023080016,Bach Mai Hospital,EC-600WI,6C692K127,,Ống soi đại tràng,2023-08-10,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023080018,Bach Mai Hospital,EC-600WI,5C692K087,,Ống soi đại tràng,2023-08-11,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023080020,Bach Mai Hospital,EC-590WI,1C607K008,,Ống soi đại tràng,2023-08-14,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023080024,Bach Mai Hospital,EC-600WI,3C692K101,,Ống soi đại tràng,2023-08-16,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023080062,Lao Khoa Hospital,EG-530WR,1G361K957,North,Ống soi dạ dày,2023-08-28,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023080069,Hanoi Medical University Hospital,CDL1909A(230V),1V620K266,North,Màn hình,2023-08-28,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023080074,Bach Mai Hospital,EG-600WR,8G391K432,,Ống soi dạ dày,2023-08-23,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023080075,Bach Mai Hospital,EG-600WR,7G391K344,,Ống soi dạ dày,2023-08-23,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023080076,Bach Mai Hospital,EC-530WI,3C591A036,,Ống soi đại tràng,2023-08-23,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023080078,Bach Mai Hospital,EC-530WL3,1C643K192,,Ống soi đại tràng,2023-08-30,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023080079,Bach Mai Hospital,EC-720R/I,3C741K101,,Ống soi đại tràng,2023-08-24,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023080091,Hoang Long Clinic,EC-760ZP-V/M,1C730K121,North,Ống soi đại tràng,2023-08-28,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023080097,Bach Mai Hospital,ED-530XT,SD102A089,,Ống soi mật tụy,2023-08-30,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023080100,Bai Chay Hospital,EG-600WR,2G391K293,North,Ống soi dạ dày,2023-08-31,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023080101,Lam Hoa Private Hospital,EG-250WR5,1G202K490,North,Ống soi dạ dày,2023-09-06,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023080102,Lam Hoa Private Hospital,EG-250WR5,2G202K006,North,Ống soi dạ dày,2023-09-06,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090004,103 Military Hospital,EC-600WI,3C692K105,North,Ống soi đại tràng,2023-09-07,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090005,103 Military Hospital,EG-600WR,5G391K105,North,Ống soi dạ dày,2023-09-07,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090007,Hoang Long Clinic,EG-760R,1G402K290,North,Ống soi dạ dày,2023-09-11,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090012,Bach Mai Hospital,EG-600WR,8G391K377,,Ống soi dạ dày,2023-09-11,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090013,Bach Mai Hospital,EC-600WI,6C692K137,,Ống soi đại tràng,2023-09-12,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090025,Hanoi Medical University Hospital,XL-4450,3S094K699,North,Bộ nguồn sáng,2023-09-15,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090041,Hue University Of Medicine And Pharmacy - Ginec,EC-530WI3,2C642D165,South,Ống soi đại tràng,2023-09-20,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090049,Bach Mai Hospital,EG-600WR,8G391K369,,Ống soi dạ dày,2023-09-21,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090063,Thong Nhat Hospital,EG-720R,1G412K346,South,Ống soi dạ dày,2023-09-28,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090070,Vietnam – Cuba Donghoi Friendship Hospital,EG-760R,6G402K258,North,Ống soi dạ dày,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090073,Dam Doi Hospital,EG-250WR5,SG202A469,South,Ống soi dạ dày,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090077,Bai Chay Hospital,EC-600WI,1C692K270,North,Ống soi đại tràng,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090079,Bai Chay Hospital,EG-600WR,2G391K484,North,Ống soi dạ dày,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090084,Bai Chay Hospital,VP-4450HD,2V567K846,North,Bộ Xử lý,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090091,Bach Mai Hospital,ED-580XT,3D127K338,,Ống soi mật tụy,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090093,Nghe An Friendship General Hospital,EG-530WR,5G361k424,North,Ống soi dạ dày,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090095,Nghe An Friendship General Hospital,EG-530WR,8G361K200,North,Ống soi dạ dày,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090096,Nghe An Friendship General Hospital,EG-530WR,5G361K426,North,Ống soi dạ dày,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090097,Nghe An Friendship General Hospital,EC-530WL3,5C643K365,North,Ống soi đại tràng,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090098,Nghe An Friendship General Hospital,EC-530WL3,3C643K193,North,Ống soi đại tràng,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090099,Nghe An Friendship General Hospital,EB-530T,1B084K474,North,Ống soi khí phế quản,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090100,Nghe An Friendship General Hospital,EB-530T,5B084K008,North,Ống soi khí phế quản,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090102,Tuyen Quang General Hospital,EG-530WR,9G361K615,North,Ống soi dạ dày,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090105,DA NANG HOSPITAL,EG-530FP,1G374K023,,Ống soi dạ dày,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090106,DA NANG HOSPITAL,EC-530WI3,1C642K104,,Ống soi đại tràng,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090107,Bach Mai Hospital,EG-600WR,8G391K044,,Ống soi dạ dày,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090108,Bach Mai Hospital,EC-600WI,6C692K126,,Ống soi đại tràng,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090109,Bach Mai Hospital,EG-600WR,2G391K858,,Ống soi dạ dày,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090110,Tuyen Quang General Hospital,EC-530WL3,1C643K926,North,Ống soi đại tràng,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090111,Tuyen Quang General Hospital,EG-201FP,RG229A399,North,Ống soi dạ dày,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090112,Bach Mai Hospital,EC-600WI,6C692K128,,Ống soi đại tràng,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090113,DA NANG HOSPITAL,EB-530T,3B084A197,South,Ống soi khí phế quản,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090118,Bach Mai Hospital,EG-600WR,8G391K423,,Ống soi dạ dày,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090119,Quang Ninh Obstetrics And Pediatrics Hospital,ER-530S2,3Y196K006,North,Ống soi khí phế quản,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090120,Bach Mai Hospital,EG-600WR,8G391K374,,Ống soi dạ dày,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090121,Bach Mai Hospital,EG-600WR,8G391K428,,Ống soi dạ dày,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090123,Bach Mai Hospital,EC-590WL4,1C666K565,,Ống soi đại tràng,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090124,Lam Hoa Private Hospital,EG-250WR5,3G202K117,North,Ống soi dạ dày,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090128,Bach Mai Hospital,EG-600WR,8G391K430,,Ống soi dạ dày,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090129,Bach Mai Hospital,EG-600WR,8G391K041,,Ống soi dạ dày,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090130,Bach Mai Hospital,EG-600WR,8G391K429,,Ống soi dạ dày,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090131,Bach Mai Hospital,EG-600WR,8G391K431,,Ống soi dạ dày,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090132,Nghe An Friendship General Hospital,EG-530WR,2G361K829,North,Ống soi dạ dày,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090133,Nghe An Friendship General Hospital,EG-530WR,8G361K199,North,Ống soi dạ dày,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090134,Nghe An Friendship General Hospital,EG-530WR,2G361K831,North,Ống soi dạ dày,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090137,Tuyen Quang General Hospital,EB-530S,6B083K189,North,Ống soi khí phế quản,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090138,Uong Bi Hospital,EC-530WI3,1C642K107,,Ống soi đại tràng,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090139,Vietnam – Cuba Donghoi Friendship Hospital,EC-760R-V/I,5C728K054,North,Ống soi đại tràng,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090141,Bach Mai Hospital,ED-580XT,3D127K339,,Ống soi mật tụy,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
FMSV2023090145,Tuyen Quang General Hospital,EG-600WR,1G391K698,North,Ống soi dạ dày,2023-09-29,2023-10-07,,,Parts Selection,Chờ xác nhận,4.0,
